,Rule,Conf_yes,Numrowstrue,Outof
174,P101=one && MV302=two,0.22484932777005098,970,4314
175,P101=one && MV304=one,0.1624624958328703,1462,8999
176,P101=one && MV304=zero,0.0,0,0
177,P101=one && MV304=two,0.0,0,0
178,P101=one && UV401=two,0.15990375150388275,1462,9143
179,P101=one && UV401=one,0.0,0,0
180,P101=one && MV101=one,0.15471555946251414,1232,7962
181,P101=one && MV101=zero,0.2,9,45
182,P101=one && MV101=two,0.16049382716049382,221,1377
183,P101=one && MV201=two,0.391304347826087,9,23
184,P101=one && MV201=zero,0.1797752808988764,16,89
185,P101=one && MV201=one,0.15496603041087026,1437,9273
186,P101=one && MV303=one,0.15717050096753388,1462,9302
187,P101=one && MV303=zero,0.0,0,0
188,P101=one && MV303=two,0.0,0,0
189,P101=one && FIT101=LT,0.14662921348314606,1305,8900
190,P101=one && FIT101=GT,0.3237113402061856,157,485
191,P101=one && LIT101=GT,0.1564640410958904,1462,9344
192,P101=one && LIT101=LT,0.0,0,0
193,P101=one && AIT202=GT,0.08766154596439893,719,8202
194,P101=one && AIT202=LT,0.6280642434488588,743,1183
195,P101=one && AIT203=LT,0.5905826017557861,740,1253
196,P101=one && AIT203=GT,0.08878504672897196,722,8132
197,P101=one && FIT201=GT,0.0,0,0
198,P101=one && FIT201=LT,0.15591340514023674,1462,9377
199,P101=one && DPIT301=LT,0.19432871925816422,1446,7441
200,P101=one && DPIT301=GT,0.00823045267489712,16,1943
201,P101=one && FIT301=LT,0.17772915147094578,1462,8226
202,P101=one && FIT301=GT,0.0,0,0
203,P101=one && LIT301=LT,0.04975878704341833,361,7255
204,P101=one && LIT301=GT,0.5169014084507042,1101,2130
205,P101=one && AIT402=GT,0.0,0,0
206,P101=one && AIT402=LT,0.45802005012531327,1462,3192
207,P101=one && FIT401=LT,0.02642132578438311,112,4239
208,P101=one && FIT401=GT,0.26233968130586865,1350,5146
209,P101=one && LIT401=GT,0.11829512575116849,1063,8986
210,P101=one && LIT401=LT,1.0,399,399
211,P101=one && AIT501=LT,0.0,0,0
212,P101=one && AIT501=GT,0.39343379978471477,1462,3716
213,P101=one && AIT502=GT,0.019371345029239765,106,5472
214,P101=one && AIT502=LT,0.34653718374648607,1356,3913
215,P101=one && AIT503=GT,0.1621765096217651,1222,7534
216,P101=one && AIT503=LT,0.12972972972972974,240,1850
217,P101=one && AIT504=GT,0.2626495905941633,1251,4763
218,P101=one && AIT504=LT,0.04565123323236694,211,4622
219,P101=one && FIT501=LT,0.013533555802743789,73,5394
220,P101=one && FIT501=GT,0.34803307441743925,1389,3991
221,P101=one && FIT502=LT,0.019501218826176635,104,5333
222,P101=one && FIT502=GT,0.3351431391905232,1358,4052
223,P101=one && FIT503=GT,0.028096864327848494,181,6442
224,P101=one && FIT503=LT,0.4352701325178389,1281,2943
225,P101=one && FIT504=GT,0.04497955474784189,198,4402
226,P101=one && FIT504=LT,0.25366245233794904,1264,4983
227,P101=one && PIT501=GT,0.006001000166694449,36,5999
228,P101=one && PIT501=LT,0.42114589486119314,1426,3386
229,P101=one && PIT502=GT,0.06918329266542271,482,6967
230,P101=one && PIT502=LT,0.4052936311000827,980,2418
231,P101=one && PIT503=GT,0.0010223206679161698,6,5868
232,P101=one && PIT503=LT,0.4141069397042093,1456,3516
233,P101=one && FIT601=GT,0.2158999192897498,1070,4956
234,P101=one && FIT601=LT,0.08850756378414992,392,4429
235,P101=one && AIT201=GT,0.017072129748186088,120,7028
236,P101=one && AIT201=LT,0.5696095076400679,1342,2356
237,P203=two && P203=one,0.0,0,0
238,P203=two && P205=two,0.08488015858713281,471,5549
239,P203=two && P205=one,0.0,0,0
240,P203=two && P301=one,0.09158186864014801,198,2162
241,P203=two && P301=two,0.08060230292294066,273,3387
242,P203=two && P401=two,0.08488015858713281,471,5549
243,P203=two && P401=one,0.0,0,0
244,P203=two && P601=one,0.08855047941342357,471,5319
245,P203=two && P601=two,0.0,0,0
246,P203=two && MV301=one,0.08488015858713281,471,5549
247,P203=two && MV301=zero,0.0,0,0
248,P203=two && MV301=two,0.0,0,0
249,P203=two && MV302=one,0.09326424870466321,198,2123
250,P203=two && MV302=zero,0.0,0,0
251,P203=two && MV302=two,0.0803886925795053,273,3396
252,P203=two && MV304=one,0.08488015858713281,471,5549
253,P203=two && MV304=zero,0.0,0,0
254,P203=two && MV304=two,0.0,0,0
255,P203=two && UV401=two,0.08488015858713281,471,5549
256,P203=two && UV401=one,0.0,0,0
257,P203=two && MV101=one,0.09294359442795158,407,4379
258,P203=two && MV101=zero,0.0,0,0
259,P203=two && MV101=two,0.058394160583941604,64,1096
260,P203=two && MV201=two,0.08488015858713281,471,5549
261,P203=two && MV201=zero,0.0,0,0
262,P203=two && MV201=one,0.0,0,0
263,P203=two && MV303=one,0.08488015858713281,471,5549
264,P203=two && MV303=zero,0.0,0,0
265,P203=two && MV303=two,0.0,0,0
266,P203=two && FIT101=LT,0.07732732732732733,412,5328
267,P203=two && FIT101=GT,0.2669683257918552,59,221
268,P203=two && LIT101=GT,0.11053743252757568,471,4261
269,P203=two && LIT101=LT,0.0,0,0
270,P203=two && AIT202=GT,0.08500270709258256,471,5541
271,P203=two && AIT202=LT,0.0,0,0
272,P203=two && AIT203=LT,0.0,0,0
273,P203=two && AIT203=GT,0.09894957983193277,471,4760
274,P203=two && FIT201=GT,0.07520246818357115,390,5186
275,P203=two && FIT201=LT,0.2231404958677686,81,363
276,P203=two && DPIT301=LT,0.10996964744338081,471,4283
277,P203=two && DPIT301=GT,0.0,0,0
278,P203=two && FIT301=LT,0.08488015858713281,471,5549
279,P203=two && FIT301=GT,0.0,0,0
280,P203=two && LIT301=LT,0.07963216591665036,407,5111
281,P203=two && LIT301=GT,0.1461187214611872,64,438
282,P203=two && AIT402=GT,0.0,0,0
283,P203=two && AIT402=LT,0.22123062470643495,471,2129
284,P203=two && FIT401=LT,0.026969857218402962,51,1891
285,P203=two && FIT401=GT,0.11481683980317113,420,3658
286,P203=two && LIT401=GT,0.08488015858713281,471,5549
287,P203=two && LIT401=LT,0.0,0,0
288,P203=two && AIT501=LT,0.011858879335902758,40,3373
289,P203=two && AIT501=GT,0.19806985294117646,431,2176
290,P203=two && AIT502=GT,0.0,0,0
291,P203=two && AIT502=LT,0.1702819956616052,471,2766
292,P203=two && AIT503=GT,0.08969372873116188,369,4114
293,P203=two && AIT503=LT,0.0710801393728223,102,1435
294,P203=two && AIT504=GT,0.14649898028552005,431,2942
295,P203=two && AIT504=LT,0.01534330648254699,40,2607
296,P203=two && FIT501=LT,0.00579080709373869,16,2763
297,P203=two && FIT501=GT,0.16331658291457288,455,2786
298,P203=two && FIT502=LT,0.022398345968297727,65,2902
299,P203=two && FIT502=GT,0.1533811862485833,406,2647
300,P203=two && FIT503=GT,0.03614775725593668,137,3790
301,P203=two && FIT503=LT,0.18988061398521888,334,1759
302,P203=two && FIT504=GT,0.02717391304347826,50,1840
303,P203=two && FIT504=LT,0.11350768401186304,421,3709
304,P203=two && PIT501=GT,0.0005733944954128441,2,3488
305,P203=two && PIT501=LT,0.22755943716642407,469,2061
306,P203=two && PIT502=GT,0.046012269938650305,195,4238
307,P203=two && PIT502=LT,0.21052631578947367,276,1311
308,P203=two && PIT503=GT,0.005925507900677201,21,3544
309,P203=two && PIT503=LT,0.22443890274314215,450,2005
310,P203=two && FIT601=GT,0.08696581196581196,407,4680
311,P203=two && FIT601=LT,0.07364787111622555,64,869
312,P203=two && AIT201=GT,0.05828351836037575,273,4684
313,P203=two && AIT201=LT,0.22890173410404624,198,865
314,P203=one && P205=two,0.0,0,0
315,P203=one && P205=one,0.15401714830104796,1455,9447
316,P203=one && P301=one,0.1616428697338269,917,5673
317,P203=one && P301=two,0.14255431902490726,538,3774
318,P203=one && P401=two,0.1540497617787189,1455,9445
319,P203=one && P401=one,0.0,0,0
320,P203=one && P601=one,0.15401714830104796,1455,9447
321,P203=one && P601=two,0.0,0,0
322,P203=one && MV301=one,0.15431116767419661,1455,9429
323,P203=one && MV301=zero,0.0,0,0
324,P203=one && MV301=two,0.0,0,0
325,P203=one && MV302=one,0.09667131752043054,485,5017
326,P203=one && MV302=zero,0.0,0,0
327,P203=one && MV302=two,0.2215623572407492,970,4378
328,P203=one && MV304=one,0.16057830261560535,1455,9061
329,P203=one && MV304=zero,0.0,0,0
330,P203=one && MV304=two,0.0,0,0
331,P203=one && UV401=two,0.15806626833242804,1455,9205
332,P203=one && UV401=one,0.0,0,0
333,P203=one && MV101=one,0.1530421799178798,1230,8037
334,P203=one && MV101=zero,0.2,9,45
335,P203=one && MV101=two,0.15824175824175823,216,1365
336,P203=one && MV201=two,0.023529411764705882,2,85
337,P203=one && MV201=zero,0.1797752808988764,16,89
338,P203=one && MV201=one,0.15496603041087026,1437,9273
339,P203=one && MV303=one,0.1553823152498932,1455,9364
340,P203=one && MV303=zero,0.0,0,0
341,P203=one && MV303=two,0.0,0,0
342,P203=one && FIT101=LT,0.14502454261490405,1300,8964
343,P203=one && FIT101=GT,0.32091097308488614,155,483
344,P203=one && LIT101=GT,0.15465561224489796,1455,9408
345,P203=one && LIT101=LT,0.0,0,0
346,P203=one && AIT202=GT,0.08629257059750334,712,8251
347,P203=one && AIT202=LT,0.6212374581939799,743,1196
348,P203=one && AIT203=LT,0.5785770132916341,740,1279
349,P203=one && AIT203=GT,0.08753672869735553,715,8168
350,P203=one && FIT201=GT,0.0,0,0
351,P203=one && FIT201=LT,0.15403345331357188,1455,9446
352,P203=one && DPIT301=LT,0.1926372155287818,1439,7470
353,P203=one && DPIT301=GT,0.008093070308548306,16,1977
354,P203=one && FIT301=LT,0.1755550193050193,1455,8288
355,P203=one && FIT301=GT,0.0,0,0
356,P203=one && LIT301=LT,0.049030319584812895,359,7322
357,P203=one && LIT301=GT,0.5157647058823529,1096,2125
358,P203=one && AIT402=GT,0.0,0,0
359,P203=one && AIT402=LT,0.45144275519702143,1455,3223
360,P203=one && FIT401=LT,0.02555685814771395,109,4265
361,P203=one && FIT401=GT,0.25974527209571596,1346,5182
362,P203=one && LIT401=GT,0.11671087533156499,1056,9048
363,P203=one && LIT401=LT,1.0,399,399
364,P203=one && AIT501=LT,0.0,0,0
365,P203=one && AIT501=GT,0.3887256211594977,1455,3743
366,P203=one && AIT502=GT,0.019262220606941667,106,5503
367,P203=one && AIT502=LT,0.3420385395537525,1349,3944
368,P203=one && AIT503=GT,0.16097110436733078,1220,7579
369,P203=one && AIT503=LT,0.12580299785867238,235,1868
370,P203=one && AIT504=GT,0.2590047886737456,1244,4802
371,P203=one && AIT504=LT,0.0454349698535745,211,4644
372,P203=one && FIT501=LT,0.0134537412458533,73,5426
373,P203=one && FIT501=GT,0.3436955981099229,1382,4021
374,P203=one && FIT502=LT,0.019417475728155338,104,5356
375,P203=one && FIT502=GT,0.33023710584209237,1351,4091
376,P203=one && FIT503=GT,0.027906259636139377,181,6486
377,P203=one && FIT503=LT,0.4302600472813239,1274,2961
378,P203=one && FIT504=GT,0.04481665912177456,198,4418
379,P203=one && FIT504=LT,0.24995028832769933,1257,5029
380,P203=one && PIT501=GT,0.005970149253731343,36,6030
381,P203=one && PIT501=LT,0.41527655838454786,1419,3417
382,P203=one && PIT502=GT,0.06782807368270741,475,7003
383,P203=one && PIT502=LT,0.40098199672667756,980,2444
384,P203=one && PIT503=GT,0.001016949152542373,6,5900
385,P203=one && PIT503=LT,0.4085142373837045,1449,3547
386,P203=one && FIT601=GT,0.21445783132530122,1068,4980
387,P203=one && FIT601=LT,0.08663532572196105,387,4467
388,P203=one && AIT201=GT,0.01693480101608806,120,7086
389,P203=one && AIT201=LT,0.565438373570521,1335,2361
390,P205=two && P205=one,0.0,0,0
391,P205=two && P301=one,0.09158186864014801,198,2162
392,P205=two && P301=two,0.08060230292294066,273,3387
393,P205=two && P401=two,0.08488015858713281,471,5549
394,P205=two && P401=one,0.0,0,0
395,P205=two && P601=one,0.08855047941342357,471,5319
396,P205=two && P601=two,0.0,0,0
397,P205=two && MV301=one,0.08488015858713281,471,5549
398,P205=two && MV301=zero,0.0,0,0
399,P205=two && MV301=two,0.0,0,0
400,P205=two && MV302=one,0.09326424870466321,198,2123
401,P205=two && MV302=zero,0.0,0,0
402,P205=two && MV302=two,0.0803886925795053,273,3396
403,P205=two && MV304=one,0.08488015858713281,471,5549
404,P205=two && MV304=zero,0.0,0,0
405,P205=two && MV304=two,0.0,0,0
406,P205=two && UV401=two,0.08488015858713281,471,5549
407,P205=two && UV401=one,0.0,0,0
408,P205=two && MV101=one,0.09294359442795158,407,4379
409,P205=two && MV101=zero,0.0,0,0
410,P205=two && MV101=two,0.058394160583941604,64,1096
411,P205=two && MV201=two,0.08488015858713281,471,5549
412,P205=two && MV201=zero,0.0,0,0
413,P205=two && MV201=one,0.0,0,0
414,P205=two && MV303=one,0.08488015858713281,471,5549
415,P205=two && MV303=zero,0.0,0,0
416,P205=two && MV303=two,0.0,0,0
417,P205=two && FIT101=LT,0.07732732732732733,412,5328
418,P205=two && FIT101=GT,0.2669683257918552,59,221
419,P205=two && LIT101=GT,0.11053743252757568,471,4261
420,P205=two && LIT101=LT,0.0,0,0
421,P205=two && AIT202=GT,0.08500270709258256,471,5541
422,P205=two && AIT202=LT,0.0,0,0
423,P205=two && AIT203=LT,0.0,0,0
424,P205=two && AIT203=GT,0.09894957983193277,471,4760
425,P205=two && FIT201=GT,0.07520246818357115,390,5186
426,P205=two && FIT201=LT,0.2231404958677686,81,363
427,P205=two && DPIT301=LT,0.10996964744338081,471,4283
428,P205=two && DPIT301=GT,0.0,0,0
429,P205=two && FIT301=LT,0.08488015858713281,471,5549
430,P205=two && FIT301=GT,0.0,0,0
431,P205=two && LIT301=LT,0.07963216591665036,407,5111
432,P205=two && LIT301=GT,0.1461187214611872,64,438
433,P205=two && AIT402=GT,0.0,0,0
434,P205=two && AIT402=LT,0.22123062470643495,471,2129
435,P205=two && FIT401=LT,0.026969857218402962,51,1891
436,P205=two && FIT401=GT,0.11481683980317113,420,3658
437,P205=two && LIT401=GT,0.08488015858713281,471,5549
438,P205=two && LIT401=LT,0.0,0,0
439,P205=two && AIT501=LT,0.011858879335902758,40,3373
440,P205=two && AIT501=GT,0.19806985294117646,431,2176
441,P205=two && AIT502=GT,0.0,0,0
442,P205=two && AIT502=LT,0.1702819956616052,471,2766
443,P205=two && AIT503=GT,0.08969372873116188,369,4114
444,P205=two && AIT503=LT,0.0710801393728223,102,1435
445,P205=two && AIT504=GT,0.14649898028552005,431,2942
446,P205=two && AIT504=LT,0.01534330648254699,40,2607
447,P205=two && FIT501=LT,0.00579080709373869,16,2763
448,P205=two && FIT501=GT,0.16331658291457288,455,2786
449,P205=two && FIT502=LT,0.022398345968297727,65,2902
450,P205=two && FIT502=GT,0.1533811862485833,406,2647
451,P205=two && FIT503=GT,0.03614775725593668,137,3790
452,P205=two && FIT503=LT,0.18988061398521888,334,1759
453,P205=two && FIT504=GT,0.02717391304347826,50,1840
454,P205=two && FIT504=LT,0.11350768401186304,421,3709
455,P205=two && PIT501=GT,0.0005733944954128441,2,3488
456,P205=two && PIT501=LT,0.22755943716642407,469,2061
457,P205=two && PIT502=GT,0.046012269938650305,195,4238
458,P205=two && PIT502=LT,0.21052631578947367,276,1311
459,P205=two && PIT503=GT,0.005925507900677201,21,3544
460,P205=two && PIT503=LT,0.22443890274314215,450,2005
461,P205=two && FIT601=GT,0.08696581196581196,407,4680
462,P205=two && FIT601=LT,0.07364787111622555,64,869
463,P205=two && AIT201=GT,0.05828351836037575,273,4684
464,P205=two && AIT201=LT,0.22890173410404624,198,865
465,P205=one && P301=one,0.1616428697338269,917,5673
466,P205=one && P301=two,0.14255431902490726,538,3774
467,P205=one && P401=two,0.1540497617787189,1455,9445
468,P205=one && P401=one,0.0,0,0
469,P205=one && P601=one,0.15401714830104796,1455,9447
470,P205=one && P601=two,0.0,0,0
471,P205=one && MV301=one,0.15431116767419661,1455,9429
472,P205=one && MV301=zero,0.0,0,0
473,P205=one && MV301=two,0.0,0,0
474,P205=one && MV302=one,0.09667131752043054,485,5017
475,P205=one && MV302=zero,0.0,0,0
476,P205=one && MV302=two,0.2215623572407492,970,4378
477,P205=one && MV304=one,0.16057830261560535,1455,9061
478,P205=one && MV304=zero,0.0,0,0
479,P205=one && MV304=two,0.0,0,0
480,P205=one && UV401=two,0.15806626833242804,1455,9205
481,P205=one && UV401=one,0.0,0,0
482,P205=one && MV101=one,0.1530421799178798,1230,8037
483,P205=one && MV101=zero,0.2,9,45
484,P205=one && MV101=two,0.15824175824175823,216,1365
485,P205=one && MV201=two,0.023529411764705882,2,85
486,P205=one && MV201=zero,0.1797752808988764,16,89
487,P205=one && MV201=one,0.15496603041087026,1437,9273
488,P205=one && MV303=one,0.1553823152498932,1455,9364
489,P205=one && MV303=zero,0.0,0,0
490,P205=one && MV303=two,0.0,0,0
491,P205=one && FIT101=LT,0.14502454261490405,1300,8964
492,P205=one && FIT101=GT,0.32091097308488614,155,483
493,P205=one && LIT101=GT,0.15465561224489796,1455,9408
494,P205=one && LIT101=LT,0.0,0,0
495,P205=one && AIT202=GT,0.08629257059750334,712,8251
496,P205=one && AIT202=LT,0.6212374581939799,743,1196
497,P205=one && AIT203=LT,0.5785770132916341,740,1279
498,P205=one && AIT203=GT,0.08753672869735553,715,8168
499,P205=one && FIT201=GT,0.0,0,0
500,P205=one && FIT201=LT,0.15403345331357188,1455,9446
501,P205=one && DPIT301=LT,0.1926372155287818,1439,7470
502,P205=one && DPIT301=GT,0.008093070308548306,16,1977
503,P205=one && FIT301=LT,0.1755550193050193,1455,8288
504,P205=one && FIT301=GT,0.0,0,0
505,P205=one && LIT301=LT,0.049030319584812895,359,7322
506,P205=one && LIT301=GT,0.5157647058823529,1096,2125
507,P205=one && AIT402=GT,0.0,0,0
508,P205=one && AIT402=LT,0.45144275519702143,1455,3223
509,P205=one && FIT401=LT,0.02555685814771395,109,4265
510,P205=one && FIT401=GT,0.25974527209571596,1346,5182
511,P205=one && LIT401=GT,0.11671087533156499,1056,9048
512,P205=one && LIT401=LT,1.0,399,399
513,P205=one && AIT501=LT,0.0,0,0
514,P205=one && AIT501=GT,0.3887256211594977,1455,3743
515,P205=one && AIT502=GT,0.019262220606941667,106,5503
516,P205=one && AIT502=LT,0.3420385395537525,1349,3944
517,P205=one && AIT503=GT,0.16097110436733078,1220,7579
518,P205=one && AIT503=LT,0.12580299785867238,235,1868
519,P205=one && AIT504=GT,0.2590047886737456,1244,4802
520,P205=one && AIT504=LT,0.0454349698535745,211,4644
521,P205=one && FIT501=LT,0.0134537412458533,73,5426
522,P205=one && FIT501=GT,0.3436955981099229,1382,4021
523,P205=one && FIT502=LT,0.019417475728155338,104,5356
524,P205=one && FIT502=GT,0.33023710584209237,1351,4091
525,P205=one && FIT503=GT,0.027906259636139377,181,6486
526,P205=one && FIT503=LT,0.4302600472813239,1274,2961
527,P205=one && FIT504=GT,0.04481665912177456,198,4418
528,P205=one && FIT504=LT,0.24995028832769933,1257,5029
529,P205=one && PIT501=GT,0.005970149253731343,36,6030
530,P205=one && PIT501=LT,0.41527655838454786,1419,3417
531,P205=one && PIT502=GT,0.06782807368270741,475,7003
532,P205=one && PIT502=LT,0.40098199672667756,980,2444
533,P205=one && PIT503=GT,0.001016949152542373,6,5900
