,Unnamed: 0,Rule,Conf_yes,Numrowstrue,Outof,numconditions
46727,46727,MV302=two && AIT203=LT && LIT301=GT,1.0,479,479,3
48557,48557,MV304=one && AIT203=LT && LIT301=GT,1.0,479,479,3
53691,53691,UV401=two && AIT203=LT && LIT301=GT,1.0,479,479,3
56827,56827,MV101=one && AIT203=LT && LIT301=GT,1.0,479,479,3
63722,63722,MV201=one && AIT203=LT && LIT301=GT,1.0,479,479,3
64947,64947,MV303=one && AIT203=LT && LIT301=GT,1.0,479,479,3
68332,68332,FIT101=LT && AIT203=LT && LIT301=GT,1.0,479,479,3
70357,70357,LIT101=GT && AIT203=LT && LIT301=GT,1.0,479,479,3
73067,73067,AIT202=LT && AIT203=LT && LIT301=GT,1.0,479,479,3
74004,74004,AIT203=LT && FIT201=LT && LIT301=GT,1.0,479,479,3
74041,74041,AIT203=LT && DPIT301=LT && LIT301=GT,1.0,479,479,3
74112,74112,AIT203=LT && FIT301=LT && LIT301=GT,1.0,479,479,3
74213,74213,AIT203=LT && LIT301=GT && AIT402=LT,1.0,479,479,3
74219,74219,AIT203=LT && LIT301=GT && AIT501=GT,1.0,479,479,3
74221,74221,AIT203=LT && LIT301=GT && AIT502=LT,1.0,479,479,3
74231,74231,AIT203=LT && LIT301=GT && FIT503=LT,1.0,479,479,3
74235,74235,AIT203=LT && LIT301=GT && PIT501=LT,1.0,479,479,3
74237,74237,AIT203=LT && LIT301=GT && PIT502=LT,1.0,479,479,3
74239,74239,AIT203=LT && LIT301=GT && PIT503=LT,1.0,479,479,3
74243,74243,AIT203=LT && LIT301=GT && AIT201=LT,1.0,479,479,3
74227,74227,AIT203=LT && LIT301=GT && FIT501=GT,1.0,477,477,3
73395,73395,AIT202=LT && LIT301=GT && FIT401=GT,1.0,469,469,3
74215,74215,AIT203=LT && LIT301=GT && FIT401=GT,1.0,466,466,3
73409,73409,AIT202=LT && LIT301=GT && FIT502=GT,1.0,446,446,3
74229,74229,AIT203=LT && LIT301=GT && FIT502=GT,1.0,446,446,3
22310,22310,P301=one && AIT202=LT && LIT301=GT,1.0,432,432,3
22342,22342,P301=one && AIT202=LT && AIT201=LT,1.0,432,432,3
22351,22351,P301=one && AIT203=LT && LIT301=GT,1.0,429,429,3
22383,22383,P301=one && AIT203=LT && AIT201=LT,1.0,429,429,3
73413,73413,AIT202=LT && LIT301=GT && FIT504=LT,1.0,429,429,3
74233,74233,AIT203=LT && LIT301=GT && FIT504=LT,1.0,428,428,3
73404,73404,AIT202=LT && LIT301=GT && AIT504=GT,1.0,408,408,3
74224,74224,AIT203=LT && LIT301=GT && AIT504=GT,1.0,408,408,3
21270,21270,P301=one && MV302=two && AIT202=LT,0.9953917050691244,432,434,3
21271,21271,P301=one && MV302=two && AIT203=LT,0.9953596287703016,429,431,3
21936,21936,P301=one && MV303=one && AIT202=LT,0.9751693002257336,432,443,3
73828,73828,AIT202=LT && FIT502=GT && AIT201=LT,0.9607843137254902,686,714,3
74648,74648,AIT203=LT && FIT502=GT && AIT201=LT,0.9607843137254902,686,714,3
21331,21331,P301=one && MV304=one && AIT202=LT,0.9330453563714904,432,463,3
46718,46718,MV302=two && AIT202=LT && AIT201=LT,0.9304677623261696,736,791,3
48548,48548,MV304=one && AIT202=LT && AIT201=LT,0.9304677623261696,736,791,3
73324,73324,AIT202=LT && FIT301=LT && AIT201=LT,0.9304677623261696,736,791,3
46759,46759,MV302=two && AIT203=LT && AIT201=LT,0.9302030456852792,733,788,3
48589,48589,MV304=one && AIT203=LT && AIT201=LT,0.9302030456852792,733,788,3
74144,74144,AIT203=LT && FIT301=LT && AIT201=LT,0.9302030456852792,733,788,3
73799,73799,AIT202=LT && FIT501=GT && AIT201=LT,0.9267676767676768,734,792,3
74619,74619,AIT203=LT && FIT501=GT && AIT201=LT,0.926489226869455,731,789,3
8462,8462,P101=one && AIT202=LT && AIT201=LT,0.9234629861982434,736,797,3
14238,14238,P203=one && AIT202=LT && AIT201=LT,0.9234629861982434,736,797,3
19714,19714,P205=one && AIT202=LT && AIT201=LT,0.9234629861982434,736,797,3
27383,27383,P401=two && AIT202=LT && AIT201=LT,0.9234629861982434,736,797,3
32144,32144,P601=one && AIT202=LT && AIT201=LT,0.9234629861982434,736,797,3
36633,36633,MV301=one && AIT202=LT && AIT201=LT,0.9234629861982434,736,797,3
53682,53682,UV401=two && AIT202=LT && AIT201=LT,0.9234629861982434,736,797,3
56818,56818,MV101=one && AIT202=LT && AIT201=LT,0.9234629861982434,736,797,3
63713,63713,MV201=one && AIT202=LT && AIT201=LT,0.9234629861982434,736,797,3
64938,64938,MV303=one && AIT202=LT && AIT201=LT,0.9234629861982434,736,797,3
68323,68323,FIT101=LT && AIT202=LT && AIT201=LT,0.9234629861982434,736,797,3
70348,70348,LIT101=GT && AIT202=LT && AIT201=LT,0.9234629861982434,736,797,3
73216,73216,AIT202=LT && FIT201=LT && AIT201=LT,0.9234629861982434,736,797,3
73253,73253,AIT202=LT && DPIT301=LT && AIT201=LT,0.9234629861982434,736,797,3
73484,73484,AIT202=LT && AIT402=LT && AIT201=LT,0.9234629861982434,736,797,3
73643,73643,AIT202=LT && AIT501=GT && AIT201=LT,0.9234629861982434,736,797,3
73688,73688,AIT202=LT && AIT502=LT && AIT201=LT,0.9234629861982434,736,797,3
73853,73853,AIT202=LT && FIT503=LT && AIT201=LT,0.9234629861982434,736,797,3
73891,73891,AIT202=LT && PIT501=LT && AIT201=LT,0.9234629861982434,736,797,3
73904,73904,AIT202=LT && PIT502=LT && AIT201=LT,0.9234629861982434,736,797,3
73913,73913,AIT202=LT && PIT503=LT && AIT201=LT,0.9234629861982434,736,797,3
8503,8503,P101=one && AIT203=LT && AIT201=LT,0.9231738035264484,733,794,3
14279,14279,P203=one && AIT203=LT && AIT201=LT,0.9231738035264484,733,794,3
19755,19755,P205=one && AIT203=LT && AIT201=LT,0.9231738035264484,733,794,3
27424,27424,P401=two && AIT203=LT && AIT201=LT,0.9231738035264484,733,794,3
32185,32185,P601=one && AIT203=LT && AIT201=LT,0.9231738035264484,733,794,3
36674,36674,MV301=one && AIT203=LT && AIT201=LT,0.9231738035264484,733,794,3
53723,53723,UV401=two && AIT203=LT && AIT201=LT,0.9231738035264484,733,794,3
56859,56859,MV101=one && AIT203=LT && AIT201=LT,0.9231738035264484,733,794,3
63754,63754,MV201=one && AIT203=LT && AIT201=LT,0.9231738035264484,733,794,3
64979,64979,MV303=one && AIT203=LT && AIT201=LT,0.9231738035264484,733,794,3
68364,68364,FIT101=LT && AIT203=LT && AIT201=LT,0.9231738035264484,733,794,3
70389,70389,LIT101=GT && AIT203=LT && AIT201=LT,0.9231738035264484,733,794,3
73099,73099,AIT202=LT && AIT203=LT && AIT201=LT,0.9231738035264484,733,794,3
74036,74036,AIT203=LT && FIT201=LT && AIT201=LT,0.9231738035264484,733,794,3
74073,74073,AIT203=LT && DPIT301=LT && AIT201=LT,0.9231738035264484,733,794,3
74304,74304,AIT203=LT && AIT402=LT && AIT201=LT,0.9231738035264484,733,794,3
74463,74463,AIT203=LT && AIT501=GT && AIT201=LT,0.9231738035264484,733,794,3
74508,74508,AIT203=LT && AIT502=LT && AIT201=LT,0.9231738035264484,733,794,3
74673,74673,AIT203=LT && FIT503=LT && AIT201=LT,0.9231738035264484,733,794,3
74711,74711,AIT203=LT && PIT501=LT && AIT201=LT,0.9231738035264484,733,794,3
74724,74724,AIT203=LT && PIT502=LT && AIT201=LT,0.9231738035264484,733,794,3
74733,74733,AIT203=LT && PIT503=LT && AIT201=LT,0.9231738035264484,733,794,3
73709,73709,AIT202=LT && AIT503=GT && AIT201=LT,0.9215406562054208,646,701,3
74529,74529,AIT203=LT && AIT503=GT && AIT201=LT,0.9212034383954156,643,698,3
73541,73541,AIT202=LT && FIT401=GT && AIT201=LT,0.9197368421052632,699,760,3
73874,73874,AIT202=LT && FIT504=LT && AIT201=LT,0.9194915254237288,651,708,3
74361,74361,AIT203=LT && FIT401=GT && AIT201=LT,0.9194187582562748,696,757,3
74694,74694,AIT203=LT && FIT504=LT && AIT201=LT,0.9193776520509194,650,707,3
73748,73748,AIT202=LT && AIT504=GT && AIT201=LT,0.9151599443671766,658,719,3
74568,74568,AIT203=LT && AIT504=GT && AIT201=LT,0.9151599443671766,658,719,3
169361,169361,P101=one && P203=one && AIT202=LT && LIT301=GT,1.0,482,482,4
174837,174837,P101=one && P205=one && AIT202=LT && LIT301=GT,1.0,482,482,4
182506,182506,P101=one && P401=two && AIT202=LT && LIT301=GT,1.0,482,482,4
187267,187267,P101=one && P601=one && AIT202=LT && LIT301=GT,1.0,482,482,4
191756,191756,P101=one && MV301=one && AIT202=LT && LIT301=GT,1.0,482,482,4
201841,201841,P101=one && MV302=two && AIT202=LT && LIT301=GT,1.0,482,482,4
203671,203671,P101=one && MV304=one && AIT202=LT && LIT301=GT,1.0,482,482,4
208805,208805,P101=one && UV401=two && AIT202=LT && LIT301=GT,1.0,482,482,4
211941,211941,P101=one && MV101=one && AIT202=LT && LIT301=GT,1.0,482,482,4
218836,218836,P101=one && MV201=one && AIT202=LT && LIT301=GT,1.0,482,482,4
220061,220061,P101=one && MV303=one && AIT202=LT && LIT301=GT,1.0,482,482,4
223446,223446,P101=one && FIT101=LT && AIT202=LT && LIT301=GT,1.0,482,482,4
225471,225471,P101=one && LIT101=GT && AIT202=LT && LIT301=GT,1.0,482,482,4
228339,228339,P101=one && AIT202=LT && FIT201=LT && LIT301=GT,1.0,482,482,4
228376,228376,P101=one && AIT202=LT && DPIT301=LT && LIT301=GT,1.0,482,482,4
228447,228447,P101=one && AIT202=LT && FIT301=LT && LIT301=GT,1.0,482,482,4
228548,228548,P101=one && AIT202=LT && LIT301=GT && AIT402=LT,1.0,482,482,4
228554,228554,P101=one && AIT202=LT && LIT301=GT && AIT501=GT,1.0,482,482,4
228556,228556,P101=one && AIT202=LT && LIT301=GT && AIT502=LT,1.0,482,482,4
228566,228566,P101=one && AIT202=LT && LIT301=GT && FIT503=LT,1.0,482,482,4
228570,228570,P101=one && AIT202=LT && LIT301=GT && PIT501=LT,1.0,482,482,4
228572,228572,P101=one && AIT202=LT && LIT301=GT && PIT502=LT,1.0,482,482,4
228574,228574,P101=one && AIT202=LT && LIT301=GT && PIT503=LT,1.0,482,482,4
228578,228578,P101=one && AIT202=LT && LIT301=GT && AIT201=LT,1.0,482,482,4
318287,318287,P203=one && P205=one && AIT202=LT && LIT301=GT,1.0,482,482,4
325956,325956,P203=one && P401=two && AIT202=LT && LIT301=GT,1.0,482,482,4
330717,330717,P203=one && P601=one && AIT202=LT && LIT301=GT,1.0,482,482,4
335206,335206,P203=one && MV301=one && AIT202=LT && LIT301=GT,1.0,482,482,4
345291,345291,P203=one && MV302=two && AIT202=LT && LIT301=GT,1.0,482,482,4
347121,347121,P203=one && MV304=one && AIT202=LT && LIT301=GT,1.0,482,482,4
352255,352255,P203=one && UV401=two && AIT202=LT && LIT301=GT,1.0,482,482,4
355391,355391,P203=one && MV101=one && AIT202=LT && LIT301=GT,1.0,482,482,4
362286,362286,P203=one && MV201=one && AIT202=LT && LIT301=GT,1.0,482,482,4
363511,363511,P203=one && MV303=one && AIT202=LT && LIT301=GT,1.0,482,482,4
366896,366896,P203=one && FIT101=LT && AIT202=LT && LIT301=GT,1.0,482,482,4
368921,368921,P203=one && LIT101=GT && AIT202=LT && LIT301=GT,1.0,482,482,4
371789,371789,P203=one && AIT202=LT && FIT201=LT && LIT301=GT,1.0,482,482,4
371826,371826,P203=one && AIT202=LT && DPIT301=LT && LIT301=GT,1.0,482,482,4
371897,371897,P203=one && AIT202=LT && FIT301=LT && LIT301=GT,1.0,482,482,4
371998,371998,P203=one && AIT202=LT && LIT301=GT && AIT402=LT,1.0,482,482,4
372004,372004,P203=one && AIT202=LT && LIT301=GT && AIT501=GT,1.0,482,482,4
372006,372006,P203=one && AIT202=LT && LIT301=GT && AIT502=LT,1.0,482,482,4
372016,372016,P203=one && AIT202=LT && LIT301=GT && FIT503=LT,1.0,482,482,4
372020,372020,P203=one && AIT202=LT && LIT301=GT && PIT501=LT,1.0,482,482,4
372022,372022,P203=one && AIT202=LT && LIT301=GT && PIT502=LT,1.0,482,482,4
372024,372024,P203=one && AIT202=LT && LIT301=GT && PIT503=LT,1.0,482,482,4
372028,372028,P203=one && AIT202=LT && LIT301=GT && AIT201=LT,1.0,482,482,4
458305,458305,P205=one && P401=two && AIT202=LT && LIT301=GT,1.0,482,482,4
463066,463066,P205=one && P601=one && AIT202=LT && LIT301=GT,1.0,482,482,4
467555,467555,P205=one && MV301=one && AIT202=LT && LIT301=GT,1.0,482,482,4
477640,477640,P205=one && MV302=two && AIT202=LT && LIT301=GT,1.0,482,482,4
479470,479470,P205=one && MV304=one && AIT202=LT && LIT301=GT,1.0,482,482,4
484604,484604,P205=one && UV401=two && AIT202=LT && LIT301=GT,1.0,482,482,4
487740,487740,P205=one && MV101=one && AIT202=LT && LIT301=GT,1.0,482,482,4
494635,494635,P205=one && MV201=one && AIT202=LT && LIT301=GT,1.0,482,482,4
495860,495860,P205=one && MV303=one && AIT202=LT && LIT301=GT,1.0,482,482,4
499245,499245,P205=one && FIT101=LT && AIT202=LT && LIT301=GT,1.0,482,482,4
501270,501270,P205=one && LIT101=GT && AIT202=LT && LIT301=GT,1.0,482,482,4
504138,504138,P205=one && AIT202=LT && FIT201=LT && LIT301=GT,1.0,482,482,4
504175,504175,P205=one && AIT202=LT && DPIT301=LT && LIT301=GT,1.0,482,482,4
504246,504246,P205=one && AIT202=LT && FIT301=LT && LIT301=GT,1.0,482,482,4
504347,504347,P205=one && AIT202=LT && LIT301=GT && AIT402=LT,1.0,482,482,4
504353,504353,P205=one && AIT202=LT && LIT301=GT && AIT501=GT,1.0,482,482,4
504355,504355,P205=one && AIT202=LT && LIT301=GT && AIT502=LT,1.0,482,482,4
504365,504365,P205=one && AIT202=LT && LIT301=GT && FIT503=LT,1.0,482,482,4
504369,504369,P205=one && AIT202=LT && LIT301=GT && PIT501=LT,1.0,482,482,4
504371,504371,P205=one && AIT202=LT && LIT301=GT && PIT502=LT,1.0,482,482,4
504373,504373,P205=one && AIT202=LT && LIT301=GT && PIT503=LT,1.0,482,482,4
504377,504377,P205=one && AIT202=LT && LIT301=GT && AIT201=LT,1.0,482,482,4
642057,642057,P401=two && P601=one && AIT202=LT && LIT301=GT,1.0,482,482,4
646546,646546,P401=two && MV301=one && AIT202=LT && LIT301=GT,1.0,482,482,4
656631,656631,P401=two && MV302=two && AIT202=LT && LIT301=GT,1.0,482,482,4
658461,658461,P401=two && MV304=one && AIT202=LT && LIT301=GT,1.0,482,482,4
663595,663595,P401=two && UV401=two && AIT202=LT && LIT301=GT,1.0,482,482,4
666731,666731,P401=two && MV101=one && AIT202=LT && LIT301=GT,1.0,482,482,4
673626,673626,P401=two && MV201=one && AIT202=LT && LIT301=GT,1.0,482,482,4
674851,674851,P401=two && MV303=one && AIT202=LT && LIT301=GT,1.0,482,482,4
678236,678236,P401=two && FIT101=LT && AIT202=LT && LIT301=GT,1.0,482,482,4
680261,680261,P401=two && LIT101=GT && AIT202=LT && LIT301=GT,1.0,482,482,4
683129,683129,P401=two && AIT202=LT && FIT201=LT && LIT301=GT,1.0,482,482,4
683166,683166,P401=two && AIT202=LT && DPIT301=LT && LIT301=GT,1.0,482,482,4
683237,683237,P401=two && AIT202=LT && FIT301=LT && LIT301=GT,1.0,482,482,4
683338,683338,P401=two && AIT202=LT && LIT301=GT && AIT402=LT,1.0,482,482,4
683344,683344,P401=two && AIT202=LT && LIT301=GT && AIT501=GT,1.0,482,482,4
683346,683346,P401=two && AIT202=LT && LIT301=GT && AIT502=LT,1.0,482,482,4
683356,683356,P401=two && AIT202=LT && LIT301=GT && FIT503=LT,1.0,482,482,4
683360,683360,P401=two && AIT202=LT && LIT301=GT && PIT501=LT,1.0,482,482,4
683362,683362,P401=two && AIT202=LT && LIT301=GT && PIT502=LT,1.0,482,482,4
683364,683364,P401=two && AIT202=LT && LIT301=GT && PIT503=LT,1.0,482,482,4
683368,683368,P401=two && AIT202=LT && LIT301=GT && AIT201=LT,1.0,482,482,4
753680,753680,P601=one && MV301=one && AIT202=LT && LIT301=GT,1.0,482,482,4
763765,763765,P601=one && MV302=two && AIT202=LT && LIT301=GT,1.0,482,482,4
765595,765595,P601=one && MV304=one && AIT202=LT && LIT301=GT,1.0,482,482,4
770729,770729,P601=one && UV401=two && AIT202=LT && LIT301=GT,1.0,482,482,4
773865,773865,P601=one && MV101=one && AIT202=LT && LIT301=GT,1.0,482,482,4
780760,780760,P601=one && MV201=one && AIT202=LT && LIT301=GT,1.0,482,482,4
781985,781985,P601=one && MV303=one && AIT202=LT && LIT301=GT,1.0,482,482,4
785370,785370,P601=one && FIT101=LT && AIT202=LT && LIT301=GT,1.0,482,482,4
787395,787395,P601=one && LIT101=GT && AIT202=LT && LIT301=GT,1.0,482,482,4
790263,790263,P601=one && AIT202=LT && FIT201=LT && LIT301=GT,1.0,482,482,4
790300,790300,P601=one && AIT202=LT && DPIT301=LT && LIT301=GT,1.0,482,482,4
790371,790371,P601=one && AIT202=LT && FIT301=LT && LIT301=GT,1.0,482,482,4
790472,790472,P601=one && AIT202=LT && LIT301=GT && AIT402=LT,1.0,482,482,4
790478,790478,P601=one && AIT202=LT && LIT301=GT && AIT501=GT,1.0,482,482,4
790480,790480,P601=one && AIT202=LT && LIT301=GT && AIT502=LT,1.0,482,482,4
790490,790490,P601=one && AIT202=LT && LIT301=GT && FIT503=LT,1.0,482,482,4
790494,790494,P601=one && AIT202=LT && LIT301=GT && PIT501=LT,1.0,482,482,4
790496,790496,P601=one && AIT202=LT && LIT301=GT && PIT502=LT,1.0,482,482,4
790498,790498,P601=one && AIT202=LT && LIT301=GT && PIT503=LT,1.0,482,482,4
790502,790502,P601=one && AIT202=LT && LIT301=GT && AIT201=LT,1.0,482,482,4
861786,861786,MV301=one && MV302=two && AIT202=LT && LIT301=GT,1.0,482,482,4
863616,863616,MV301=one && MV304=one && AIT202=LT && LIT301=GT,1.0,482,482,4
868750,868750,MV301=one && UV401=two && AIT202=LT && LIT301=GT,1.0,482,482,4
871886,871886,MV301=one && MV101=one && AIT202=LT && LIT301=GT,1.0,482,482,4
878781,878781,MV301=one && MV201=one && AIT202=LT && LIT301=GT,1.0,482,482,4
880006,880006,MV301=one && MV303=one && AIT202=LT && LIT301=GT,1.0,482,482,4
883391,883391,MV301=one && FIT101=LT && AIT202=LT && LIT301=GT,1.0,482,482,4
885416,885416,MV301=one && LIT101=GT && AIT202=LT && LIT301=GT,1.0,482,482,4
888284,888284,MV301=one && AIT202=LT && FIT201=LT && LIT301=GT,1.0,482,482,4
888321,888321,MV301=one && AIT202=LT && DPIT301=LT && LIT301=GT,1.0,482,482,4
888392,888392,MV301=one && AIT202=LT && FIT301=LT && LIT301=GT,1.0,482,482,4
888493,888493,MV301=one && AIT202=LT && LIT301=GT && AIT402=LT,1.0,482,482,4
888499,888499,MV301=one && AIT202=LT && LIT301=GT && AIT501=GT,1.0,482,482,4
888501,888501,MV301=one && AIT202=LT && LIT301=GT && AIT502=LT,1.0,482,482,4
888511,888511,MV301=one && AIT202=LT && LIT301=GT && FIT503=LT,1.0,482,482,4
888515,888515,MV301=one && AIT202=LT && LIT301=GT && PIT501=LT,1.0,482,482,4
888517,888517,MV301=one && AIT202=LT && LIT301=GT && PIT502=LT,1.0,482,482,4
888519,888519,MV301=one && AIT202=LT && LIT301=GT && PIT503=LT,1.0,482,482,4
888523,888523,MV301=one && AIT202=LT && LIT301=GT && AIT201=LT,1.0,482,482,4
1072251,1072251,MV302=two && MV304=one && AIT202=LT && LIT301=GT,1.0,482,482,4
1077385,1077385,MV302=two && UV401=two && AIT202=LT && LIT301=GT,1.0,482,482,4
1080521,1080521,MV302=two && MV101=one && AIT202=LT && LIT301=GT,1.0,482,482,4
1087416,1087416,MV302=two && MV201=one && AIT202=LT && LIT301=GT,1.0,482,482,4
1088641,1088641,MV302=two && MV303=one && AIT202=LT && LIT301=GT,1.0,482,482,4
1092026,1092026,MV302=two && FIT101=LT && AIT202=LT && LIT301=GT,1.0,482,482,4
1094051,1094051,MV302=two && LIT101=GT && AIT202=LT && LIT301=GT,1.0,482,482,4
1096919,1096919,MV302=two && AIT202=LT && FIT201=LT && LIT301=GT,1.0,482,482,4
1096956,1096956,MV302=two && AIT202=LT && DPIT301=LT && LIT301=GT,1.0,482,482,4
1097027,1097027,MV302=two && AIT202=LT && FIT301=LT && LIT301=GT,1.0,482,482,4
1097128,1097128,MV302=two && AIT202=LT && LIT301=GT && AIT402=LT,1.0,482,482,4
1097134,1097134,MV302=two && AIT202=LT && LIT301=GT && AIT501=GT,1.0,482,482,4
1097136,1097136,MV302=two && AIT202=LT && LIT301=GT && AIT502=LT,1.0,482,482,4
1097146,1097146,MV302=two && AIT202=LT && LIT301=GT && FIT503=LT,1.0,482,482,4
1097150,1097150,MV302=two && AIT202=LT && LIT301=GT && PIT501=LT,1.0,482,482,4
1097152,1097152,MV302=two && AIT202=LT && LIT301=GT && PIT502=LT,1.0,482,482,4
1097154,1097154,MV302=two && AIT202=LT && LIT301=GT && PIT503=LT,1.0,482,482,4
1097158,1097158,MV302=two && AIT202=LT && LIT301=GT && AIT201=LT,1.0,482,482,4
1113375,1113375,MV304=one && UV401=two && AIT202=LT && LIT301=GT,1.0,482,482,4
1116511,1116511,MV304=one && MV101=one && AIT202=LT && LIT301=GT,1.0,482,482,4
1123406,1123406,MV304=one && MV201=one && AIT202=LT && LIT301=GT,1.0,482,482,4
1124631,1124631,MV304=one && MV303=one && AIT202=LT && LIT301=GT,1.0,482,482,4
1128016,1128016,MV304=one && FIT101=LT && AIT202=LT && LIT301=GT,1.0,482,482,4
1130041,1130041,MV304=one && LIT101=GT && AIT202=LT && LIT301=GT,1.0,482,482,4
1132909,1132909,MV304=one && AIT202=LT && FIT201=LT && LIT301=GT,1.0,482,482,4
1132946,1132946,MV304=one && AIT202=LT && DPIT301=LT && LIT301=GT,1.0,482,482,4
1133017,1133017,MV304=one && AIT202=LT && FIT301=LT && LIT301=GT,1.0,482,482,4
1133118,1133118,MV304=one && AIT202=LT && LIT301=GT && AIT402=LT,1.0,482,482,4
1133124,1133124,MV304=one && AIT202=LT && LIT301=GT && AIT501=GT,1.0,482,482,4
1133126,1133126,MV304=one && AIT202=LT && LIT301=GT && AIT502=LT,1.0,482,482,4
1133136,1133136,MV304=one && AIT202=LT && LIT301=GT && FIT503=LT,1.0,482,482,4
1133140,1133140,MV304=one && AIT202=LT && LIT301=GT && PIT501=LT,1.0,482,482,4
1133142,1133142,MV304=one && AIT202=LT && LIT301=GT && PIT502=LT,1.0,482,482,4
1133144,1133144,MV304=one && AIT202=LT && LIT301=GT && PIT503=LT,1.0,482,482,4
1133148,1133148,MV304=one && AIT202=LT && LIT301=GT && AIT201=LT,1.0,482,482,4
1214096,1214096,UV401=two && MV101=one && AIT202=LT && LIT301=GT,1.0,482,482,4
1220991,1220991,UV401=two && MV201=one && AIT202=LT && LIT301=GT,1.0,482,482,4
1222216,1222216,UV401=two && MV303=one && AIT202=LT && LIT301=GT,1.0,482,482,4
1225601,1225601,UV401=two && FIT101=LT && AIT202=LT && LIT301=GT,1.0,482,482,4
1227626,1227626,UV401=two && LIT101=GT && AIT202=LT && LIT301=GT,1.0,482,482,4
1230494,1230494,UV401=two && AIT202=LT && FIT201=LT && LIT301=GT,1.0,482,482,4
1230531,1230531,UV401=two && AIT202=LT && DPIT301=LT && LIT301=GT,1.0,482,482,4
1230602,1230602,UV401=two && AIT202=LT && FIT301=LT && LIT301=GT,1.0,482,482,4
1230703,1230703,UV401=two && AIT202=LT && LIT301=GT && AIT402=LT,1.0,482,482,4
1230709,1230709,UV401=two && AIT202=LT && LIT301=GT && AIT501=GT,1.0,482,482,4
1230711,1230711,UV401=two && AIT202=LT && LIT301=GT && AIT502=LT,1.0,482,482,4
1230721,1230721,UV401=two && AIT202=LT && LIT301=GT && FIT503=LT,1.0,482,482,4
1230725,1230725,UV401=two && AIT202=LT && LIT301=GT && PIT501=LT,1.0,482,482,4
1230727,1230727,UV401=two && AIT202=LT && LIT301=GT && PIT502=LT,1.0,482,482,4
1230729,1230729,UV401=two && AIT202=LT && LIT301=GT && PIT503=LT,1.0,482,482,4
1230733,1230733,UV401=two && AIT202=LT && LIT301=GT && AIT201=LT,1.0,482,482,4
1277971,1277971,MV101=one && MV201=one && AIT202=LT && LIT301=GT,1.0,482,482,4
1279196,1279196,MV101=one && MV303=one && AIT202=LT && LIT301=GT,1.0,482,482,4
1282581,1282581,MV101=one && FIT101=LT && AIT202=LT && LIT301=GT,1.0,482,482,4
1284606,1284606,MV101=one && LIT101=GT && AIT202=LT && LIT301=GT,1.0,482,482,4
1287474,1287474,MV101=one && AIT202=LT && FIT201=LT && LIT301=GT,1.0,482,482,4
